"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Jul 19 19:38:42 UTC 2024","Fri Jul 19 19:38:43 UTC 2024","222","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:38:43 UTC 2024","Fri Jul 19 19:38:43 UTC 2024","231","","test_3_Update_User","","","","test_update_user",""
"passed","Fri Jul 19 19:38:44 UTC 2024","Fri Jul 19 19:38:45 UTC 2024","211","","test_6_User_Registration","","","","test_register_fail",""
"passed","Fri Jul 19 19:38:42 UTC 2024","Fri Jul 19 19:38:42 UTC 2024","240","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Wed Jul 17 18:53:59 UTC 2024","Wed Jul 17 18:53:59 UTC 2024","37","","test_1_Fetch_User","","","","test_get_user",""
"passed","Fri Jul 19 19:35:56 UTC 2024","Fri Jul 19 19:35:56 UTC 2024","335","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:38:44 UTC 2024","Fri Jul 19 19:38:44 UTC 2024","225","","test_5_User_Login","","","","test_login_fail",""
"passed","Fri Jul 19 19:34:28 UTC 2024","Fri Jul 19 19:34:28 UTC 2024","198","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:34:27 UTC 2024","Fri Jul 19 19:34:28 UTC 2024","254","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:38:43 UTC 2024","Fri Jul 19 19:38:44 UTC 2024","220","","test_3_Update_User","","","","test_patch_user",""
"passed","Fri Jul 19 19:35:56 UTC 2024","Fri Jul 19 19:35:56 UTC 2024","36","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:38:43 UTC 2024","Fri Jul 19 19:38:43 UTC 2024","225","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:38:43 UTC 2024","Fri Jul 19 19:38:43 UTC 2024","232","","test_2_Create_User","","","","Test Create User","This test case verifies that the system create user"
"passed","Fri Jul 19 19:34:27 UTC 2024","Fri Jul 19 19:34:27 UTC 2024","266","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:38:44 UTC 2024","Fri Jul 19 19:38:44 UTC 2024","216","","test_4_Delete_User","","","","test_delete_user",""
"passed","Fri Jul 19 19:35:57 UTC 2024","Fri Jul 19 19:35:57 UTC 2024","324","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:38:44 UTC 2024","Fri Jul 19 19:38:44 UTC 2024","222","","test_5_User_Login","","","","test_login",""
"passed","Fri Jul 19 19:38:42 UTC 2024","Fri Jul 19 19:38:42 UTC 2024","225","","test_1_Fetch_User","","","","Test Retrieve All Users Information","This test case verifies that the system retrieves all users"
"passed","Fri Jul 19 19:38:45 UTC 2024","Fri Jul 19 19:38:45 UTC 2024","215","","test_7_User_Logout","","","","test_logout",""
"passed","Fri Jul 19 19:38:42 UTC 2024","Fri Jul 19 19:38:42 UTC 2024","250","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:35:56 UTC 2024","Fri Jul 19 19:35:57 UTC 2024","321","","test_1_Fetch_User","","","","Test Retrieve Not Existing User Information","This test case verifies that the system retrieves not existing user"
"passed","Fri Jul 19 19:38:44 UTC 2024","Fri Jul 19 19:38:44 UTC 2024","215","","test_6_User_Registration","","","","test_register",""
